id,name,brand,image_url,annual_fee1,annual_fee2,record,type,,
85,카드의정석 SHOPPING,우리카드,https://api.card-gorilla.com:8080/storage/card/85/card_img/20167/85card.png,10000,12000,30,VISA,,
86,카드의정석 DISCOUNT,우리카드,https://api.card-gorilla.com:8080/storage/card/86/card_img/20168/86card.png,10000,12000,30,VISA,,
87,DA@카드의정석,우리카드,https://api.card-gorilla.com:8080/storage/card/87/card_img/20239/87card.png,5000,10000,0,BC,,
88,D4@카드의정석,우리카드,https://api.card-gorilla.com:8080/storage/card/88/card_img/20241/88card.png,9000,10000,30,BC,,
89,우리Most카드,우리카드,https://api.card-gorilla.com:8080/storage/card/89/card_img/20242/89card.png,19000,20000,30,VISA,,
90,카드의정석 위비온 플러스,우리카드,https://api.card-gorilla.com:8080/storage/card/90/card_img/20243/90card.png,13000,15000,30,BC,,
91,카드의정석 PREMIUM POINT,우리카드,https://api.card-gorilla.com:8080/storage/card/91/card_img/20245/91card.png,110000,110000,0,BC,,
92,카드의정석 PREMIUM MILEAGE(SKYPASS),우리카드,https://api.card-gorilla.com:8080/storage/card/92/card_img/20246/92card.png,135000,135000,50,BC,,
93,카드의정석 PREMIUM MILEAGE(AsianaClub),우리카드,https://api.card-gorilla.com:8080/storage/card/93/card_img/20247/93card.png,135000,135000,50,BC,,
94,LoL CHAMPIONS KOREA 우리카드,우리카드,https://api.card-gorilla.com:8080/storage/card/94/card_img/20248/94card.png,10000,0,0,VISA,,
95,갤러리아 씨티카드 프레스티지,씨티카드,https://api.card-gorilla.com:8080/storage/card/95/card_img/20250/95card.png,4000,5000,30,VISA,,
96,씨티 리워드,씨티카드,https://api.card-gorilla.com:8080/storage/card/96/card_img/20251/96card.png,8000,10000,30,Mastercard,,
97,신세계 씨티 리워드,씨티카드,https://api.card-gorilla.com:8080/storage/card/97/card_img/20253/97card.png,8000,10000,30,VISA,,
98,신세계 씨티카드 콰트로,씨티카드,https://api.card-gorilla.com:8080/storage/card/98/card_img/20254/98card.png,2000,5000,30,VISA,,
99,신세계 씨티 플래티늄 아시아나,씨티카드,https://api.card-gorilla.com:8080/storage/card/99/card_img/20256/99card.png,5000,10000,0,VISA,,
100,씨티 NEW 캐시백,씨티카드,https://api.card-gorilla.com:8080/storage/card/100/card_img/20257/100card.png,13000,15000,0,Mastercard,,
101,NEW 씨티 클리어,씨티카드,https://api.card-gorilla.com:8080/storage/card/101/card_img/20258/101card.png,4000,5000,15,Mastercard,,
102,씨티 NEW 프리미어마일 대한항공,씨티카드,https://api.card-gorilla.com:8080/storage/card/102/card_img/20260/102card.png,148000,150000,0,VISA,,
104,대백 씨티카드 아인스,씨티카드,https://api.card-gorilla.com:8080/storage/card/104/card_img/20262/104card.png,4000,5000,30,VISA,,
105,이마트 KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/105/card_img/20263/105card.png,5000,10000,30,VISA,,
106,굿데이카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/106/card_img/20264/106card.png,5000,10000,30,VISA,,
107,SK LPG SAVE KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/107/card_img/20265/107card.png,3000,5000,30,VISA,,
108,와이즈카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/108/card_img/20266/108card.png,5000,10000,0,VISA,,
109,SK에너지 러브유 KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/109/card_img/20267/109card.png,7000,12000,30,Mastercard,,
110,서울도시가스 KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/110/card_img/20268/110card.png,5000,10000,30,Mastercard,,
111,혜담Ⅱ카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/111/card_img/20269/111card.png,5000,10000,30,Mastercard,,
112,GS행복가득카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/112/card_img/20270/112card.png,7000,12000,30,Mastercard,,
113,마일리지 가온카드(대한항공),KB국민카드,https://api.card-gorilla.com:8080/storage/card/113/card_img/20271/113card.png,15000,20000,0,Mastercard,,
114,마일리지 가온카드(아시아나),KB국민카드,https://api.card-gorilla.com:8080/storage/card/114/card_img/20272/114card.png,15000,20000,0,Mastercard,,
115,굿데이올림카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/115/card_img/20273/115card.png,15000,20000,30,VISA,,
116,청춘대로카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/116/card_img/20274/116card.png,15000,20000,30,Mastercard,,
117,청춘대로 티타늄 카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/117/card_img/20349/117card.png,40000,0,30,Mastercard,,
118,FINETECH카드(아시아나),KB국민카드,https://api.card-gorilla.com:8080/storage/card/118/card_img/24264/118card.png,20000,25000,0,Mastercard,,
119,FINETECH카드(대한항공),KB국민카드,https://api.card-gorilla.com:8080/storage/card/119/card_img/24263/119card.png,20000,25000,0,Mastercard,,
120,ONE카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/120/card_img/20352/120card.png,15000,0,0,Mastercard,,
121,다담카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/121/card_img/20353/121card.png,15000,20000,30,VISA,,
122,모바일101카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/122/card_img/20354/122card.png,1000,0,20,VISA,,
123,아이행복카드(S-type),KB국민카드,https://api.card-gorilla.com:8080/storage/card/123/card_img/23900/123card.png,0,0,30,Mastercard,,
124,아이행복카드(T-type),KB국민카드,https://api.card-gorilla.com:8080/storage/card/124/card_img/23901/124card.png,0,0,30,Mastercard,,
125,E1 LPG KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/125/card_img/20355/125card.png,20000,0,50,Mastercard,,
126,아시아나 올림카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/126/card_img/20356/126card.png,28000,30000,0,Mastercard,,
127,청춘대로 매니아i카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/127/card_img/20357/127card.png,12000,15000,40,Mastercard,,
128,Liiv Mate카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/128/card_img/23902/128card.png,12000,15000,30,Mastercard,,
130,BeV V카드(포인트형),KB국민카드,https://api.card-gorilla.com:8080/storage/card/130/card_img/20359/130card.png,295000,300000,50,Mastercard,,
131,BeV V카드(스카이패스형),KB국민카드,https://api.card-gorilla.com:8080/storage/card/131/card_img/20360/131card.png,295000,300000,50,Mastercard,,
132,청춘대로 1코노미 카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/132/card_img/20361/132card.png,17000,15000,40,Mastercard,,15000
133,BeV Ⅲ 카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/133/card_img/20362/133card.png,200000,65000,50,Mastercard,,65000
134,탄탄대로 온리유카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/134/card_img/20363/134card.png,15000,20000,40,Mastercard,,12000
135,탄탄대로 이지홈카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/135/card_img/23903/135card.png,15000,15000,40,Mastercard,,20000
136,가온 워킹업카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/136/card_img/20364/136card.png,15000,0,0,Mastercard,,20000
137,탄탄대로 Miz&Mr카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/137/card_img/20365/137card.png,15000,15000,40,Mastercard,,20000
138,스카이패스 KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/138/card_img/20366/138card.png,15000,0,0,VISA,,2500000
139,아시아나항공 KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/139/card_img/20367/139card.png,13000,15000,0,VISA,,10000
