id,title,content,card_id
3324,OK캐쉬백,OK캐쉬백 포인트 적립 및 사용,843
3325,캐시백,국내 및 해외 가맹점 7% 캐쉬백 제공,844
3326,기타,XPEED 초고속 인터넷 10% 할인,846
3327,쇼핑,롯데백화점 상품권 12만원 제공 및 설치비 면제,846
3328,카드사,롯데카드 공통서비스,846
3329,생활,3대 백화점 및 할인점 등 주요 생활업종 월 최고 5만원 할인,847
3330,제휴/PLCC,"성혼컨설팅 20%, 웨딩 패키지 20만원 할인",847
3331,통신,"강원방송 통신료 최대 9,000원 할인",848
3332,교통,대중교통 5% 할인,848
3333,바우처,스페셜기프트 연1회 제공,849
3334,여행/숙박,국내 특급호텔 서비스,849
3335,자동차/하이패스,주차 및 자동차 서비스,849
3336,레저/스포츠,국내 골프장 서비스,849
3337,공항라운지/PP,공항라운지 서비스,849
3338,쇼핑,무이자할부 및 명품브랜드 10% 할인,849
3339,프리미엄,마스터카드 다이아몬드 서비스,849
3340,자동차/하이패스,전기차·수소차 충전 시 당월 이용금액에 따라 50~100% 블루멤버스 포인트 적립,850
3341,멤버십포인트,"차량유지관리 업종 0.5~3.0% / Mobility 업종 0.5~2% 블루멤버스 포인트 적립
그 외 일반 가맹점 0.5% 블루멤버스 포인트 적립",850
3342,차/중고차,현대자동차 신차 구매 시 1.5% 블루멤버스 포인트 적립,850
3343,자동차/하이패스,Bluemembers 멤버십 서비스,850
3344,자동차/하이패스,전국 주유소에서 주유 시 화물운전자 유가보조금 자동 지급,851
3345,주유,SK내트럭 주유소 40원/ℓ 할인,851
3346,적립,화물운송사업자 전용 마이신한포인트 적립 혜택,851
3347,자동차/하이패스,전국 주유소에서 주유 시 화물운전자 유가보조금 자동 지급,855
3348,주유,알뜰주유소 최대 35원/ℓ 할인,855
3349,적립,화물운송사업자 전용 마이신한포인트 적립 혜택,855
3350,자동차/하이패스,전국 주유소에서 주유 시 화물운전자 유가보조금 자동 지급,856
3351,주유,SK내트럭 주유소 40원/ℓ 할인,856
3352,적립,화물운송사업자 전용 마이신한포인트 적립 혜택,856
3353,자동차/하이패스,전국 주유소에서 주유 시 화물운전자 유가보조금 자동 지급,857
3354,주유,"현대오일뱅크 화물우대주유소 주유할인
연동형: 최대 100원/L 할인, 고정형: 최대 50원/L 할인",857
3355,적립,화물운송사업자 전용 마이신한포인트 적립 혜택,857
3356,푸드,"롯데 외식업종(롯데리아, 엔제리너스, 크리스피크림도넛 등) 10% 할인",858
3357,소셜커머스,그루폰에서 구매 시 최대 20% 할인,858
3358,헤어,"박준뷰티랩, 박승철 헤어스투디오 할인",858
3359,영화/문화,롯데 자이언츠 20% 할인,858
3360,쇼핑,롯데백화점 5% 할인,858
3361,쇼핑,롯데ON 5%할인 및 무이자 할부 혜택,858
3362,면세점,롯데 면세점 최대 10ㅅ% 할인,858
3363,마트/편의점,"롯데마트, 롯데슈퍼 2~3개월 무이자할부",858
3364,기타,토이저러스 2~3개월 무이자할부,858
3365,자동차/하이패스,전국 주유소에서 주유 시 화물운전자 유가보조금 자동 지급,860
3366,주유,"S-OIL 화물우대주유소 주유할인
연동형: 최대 100원/L 할인, 고정형: 최대 55원/L 할인",860
3367,적립,화물운송사업자 전용 마이신한포인트 적립 혜택,860
3368,자동차/하이패스,전국 주유소에서 주유 시 화물운전자 유가보조금 자동 지급,861
3369,주유,SK주유소 주유시 최대 55원/ℓ 할인,861
3370,기타,유가보조금 잔여한도 알림서비스 제공,861
3371,통신,"LG U+ 라이트할부 이용 시 1~24개월 차 월 15,000원/25,000원 청구 할인
LG U+ 라이트할부 이용 시 25개월 차부터 월 6,000원 청구 할인",862
3372,적립,"업종별 0.5~3% 적립
월 100만원 이상 이용 시 1.5배 적립",862
3373,기타,남선교회전국연합회 선교기금 조성,863
3374,적립,롯데포인트 더블 적립,863
3375,헤어,"박준 뷰티랩, 박승철 헤어스투디오 할인",863
3376,영화/문화,롯데 자이언츠 20% 할인,863
3377,쇼핑,롯데백화점 5% 할인 e-쿠폰 및 무료 주차권 제공,863
3378,쇼핑,롯데ON 5%할인 및 무이자 할부 혜택,863
3379,면세점,롯데 면세점 최대 10% 할인,863
3380,마트/편의점,"롯데마트, 롯데슈퍼 2~3개월 무이자할부",863
3381,기타,토이저러스 2~3개월 무이자할부,863
3382,캐시백,연간 이용금액에 따라 최대 70만원 캐시백,864
3383,금융,"출금/이체수수료 면제
환율우대 서비스",864
3384,테마파크,놀이공원 할인,864
3385,마트/편의점,"홈플러스 매장, 온라인몰 결제 시 마이홈플러스 포인트 7% 적립",865
3386,모든가맹점,홈플러스 매장 외 가맹점 결제 시 0.3% 결제일 할인,865
3387,비즈니스,"세무신고(부가세/소득세) 지원 서비스 제공
전자세금계산서 월 250건 무료 이용",866
3388,모든가맹점,"전 가맹점 0.7% 캐시백
이동통신요금 자동이체 건은 1.4% 캐시백",866
3389,생활,생활친화가맹점 잔돈할인 서비스(Coin-Save),866
3390,영화/문화,"인터파크, YES24 영화 할인",866
3391,마트/편의점,오아시스 15% 할인,868
3392,쇼핑,온/오프라인 쇼핑 10% 결제일 할인,868
3393,카페/디저트,커피전문점 10% 결제일 할인,868
3394,쇼핑,"다이소, 올리브영 10% 결제일 할인",868
3395,주유,4대 정유사 주유 이용금액 리터당 60원 결제일 할인,868
3396,해외,연간 1천만원 이상 이용 고객 해외이용금액 5 % 캐시백,868
3397,영화/문화,교보문고 이용시 최고 7%할인,869
3398,카페/디저트,"파리바게뜨, 던킨도너츠 10% 할인",869
3399,영화/문화,"교보북클럽 서비스
구매금액 3% 적립",869
3400,금융,교보증권 PLUS 혜택,870
3401,금융,교보증권 CMA자동투자 및 은행 이체수수료 무료,870
3402,금융,연회비 면제 및 SMS무료 서비스,870
3403,교육/육아,교육지대 월 최대 2만원 할인,871
3404,적립,더블 포인트 적립,871
3405,무이자할부,6개월 슬림할부 및 2~3개월 무이자할부,871
3406,통신,"SKT 라이트할부 이용 시 1~24개월 차 월 15,000원/25,000원 청구 할인
KT 라이트할부 이용 시 25개월 차부터 월 6,000원 청구 할인",872
3407,적립,"업종별 0.5~3% 적립
월 100만원 이상 이용 시 1.5배 적립",872
3408,바우처,연회비 상당의 쿠폰 서비스,873
3409,항공마일리지,토탈마일리지 적립 서비스,873
3410,여행/숙박,해외 여행상품 현장 할인 서비스,873
3411,여행/숙박,롯데호텔 우대 서비스,873
3412,영화/문화,도서 요약 서비스,873
3413,보험,보험 무료가입 서비스,873
3414,프리미엄,VISA Signature 전용서비스,873
3415,기타,리워드 서비스 최대 0.4% 포인트 제공,874
3416,주유,전 주유소 리터당 60원 할인(LPG포함),874
3417,마트/편의점,"이마트, 홈플러스, 롯데마트, 농협하나로클럽 5% 할인",874
3418,쇼핑,"쿠팡, 티몬, 위메프 20% 할인",874
3419,영화/문화,전국 영화관 및 인터넷 예매 8천원 할인,874
3420,푸드,"아웃백, 빕스, 블랙스미스, 토다이, TGIF, 애슐리 20% 할인
불고기브라더스 20% 현장할인",874
3421,카페/디저트,"스타벅스, 커피빈, 카페베네, 탐앤탐스, 할리스, 엔제리너스, 달콤커피 20% 할인",874
3422,금융,"금융 수수료 면제, 무이자 할부 등",874
3423,테마파크,"주요 놀이공원 무료입장 또는 입장료/자유이용권 할인 (월 1회, 연 2회)",874
3424,프리미엄,MasterCard Platinum/ VISA Platinum 기본 서비스,874
3425,적립,"국내외 일시불, 유이자할부금액에 대해서 1,500원당 1마일 적립
제휴항공사 | 대한항공",874
3426,적립,"국내외 일시불, 유이자할부금액 1,500원당 10 TOP포인트 적립",874
3427,교통,KTX/SRT 승차권 및 철도 여행상품 3%~10% 할인 서비스,874
3428,생활,에스원 보안서비스 1만원 할인,875
3429,비즈니스,"사업자 지원 서비스 (상권분석, 전자세금계산서, 세무상담 등)",875
3430,통신,"kt 통신요금 자동이체 1~24개월 차 월 13,000원/30,000원 할인
kt 통신요금 자동이체 25개월 차부터 월 6,000원 할인",877
3431,적립,"업종별 0.5~3% 적립
월 100만원 이상 이용 시 1.5배 적립",877
3432,자동차/하이패스,전국 주유소에서 주유 시 화물운전자 유가보조금 자동 지급,878
3433,주유,SK내트럭플러스 주유 최대 70원/ℓ 할인,878
3434,기타,유가보조금 잔여한도 알림서비스 제공,878
3435,BC TOP,TOP포인트 최대 0.4% 적립,879
3436,주유,전 주유소 리터당 60원 할인 (LPG포함),879
3437,소셜커머스,소셜커머스 20% 할인,879
3438,영화/문화,영화관 8천원 청구할인,879
3439,푸드,패밀리레스토랑 20% 청구할인,879
3440,카페/디저트,주요 커피전문점 20% 할인,879
3441,금융,"금융 수수료 면제, 무이자 할부 등",879
3442,테마파크,"주요 놀이공원 무료입장 또는 입장료/자유이용권 할인 (월 1회, 연 2회)",879
3443,기타,자연드림 이용금액 7% 청구할인,879
3444,자동차/하이패스,전국 주유소에서 주유 시 화물운전자 유가보조금 자동 지급,880
3445,주유,"현대오일뱅크, GS칼텍스 화물특화주유소 최대 70원/ℓ할인
현대오일뱅크, GS칼텍스 일반주유소 최대 25원/ℓ할인",880
3446,적립,화물운송사업자 전용 마이신한포인트 적립 혜택,880
3447,바우처,모바일쿠폰 서비스,881
3448,멤버십포인트,통합멤버십 서비스,881
3449,자동차/하이패스,전국 주유소에서 주유 시 화물운전자 유가보조금 자동 지급,882
3450,주유,"현대오일뱅크, GS칼텍스 화물특화주유소 최대 70원/ℓ할인
현대오일뱅크, GS칼텍스 일반주유소 최대 25원/ℓ할인",882
3451,적립,화물운송사업자 전용 마이신한포인트 적립 혜택,882
3452,적립,포인트리 0.1% 적립,883
3453,주유,SK에너지 리터당 50원 청구할인,883
3454,항공마일리지,"마일리지 1,000원당 1마일 적립",885
3455,주유,SK에너지 리터당 50원 할인,885
3456,통신,"LG U+ 통신요금 자동이체 1~24개월 차 월 13,000원/30,000원 할인
LG U+ 통신요금 자동이체 25개월 차부터 월 6,000원 할인",886
3457,적립,"업종별 0.5~3% 적립
월 100만원 이상 이용 시 1.5배 적립",886
3458,자동차/하이패스,[E1 오렌지 서비스] E1 LPG 충전 시 리터당 60원 할인,887
3459,마트/편의점,[아이파크 백화점 서비스] 이마트 이용 시 5% 청구할인,887
3460,쇼핑,[아이파크 백화점 서비스] 아이파크 백화점 10% 청구할인,887
3461,쇼핑,[아이파크 백화점 서비스] 식음·리테일 매장 결제 시 10% 청구할인,887
3462,영화/문화,[아이파크 백화점 서비스] CGV 2천원 청구할인,887
